Fecha,GasLicuado,Regular,Superior,Diesel,GasLicuado_log,GasLicuado_diff,Diesel_log,Diesel_diff,Regular_log,Regular_diff,Superior_log,Superior_diff
2013-03-01,286869.62,313075.45,413744.86,898352.2,12.566783105808456,0.12476168689665279,13.708317475291876,0.10494380234307776,12.654199494786466,0.18707244227768527,12.93300478263552,0.13577424451577258
2013-04-01,287216.3,330070.65,409238.3,966103.92,12.567990869420361,0.0012077636119052215,13.781026685048348,0.07270920975647144,12.707062001437565,0.05286250665109904,12.92205290594261,-0.010951876692908868
2013-05-01,301770.53,313131.36,403354.79,827601.25,12.617422173099422,0.04943130367906079,13.626286735243879,-0.15473994980446903,12.654378061992238,-0.0526839394453269,12.90757182583694,-0.014481080105671396
2013-06-01,275921.37,287596.64,402012.07,775187.12,12.527871212805703,-0.08955096029371923,13.560859724353582,-0.06542701089029634,12.569314221867876,-0.08506384012436286,12.904237392026042,-0.0033344338108971527
2013-07-01,292790.1,314185.61,425154.22,732544.52,12.587211249022262,0.059340036216559255,13.504279396183438,-0.0565803281701438,12.657739204900626,0.08842498303275015,12.96020725267318,0.0559698606471386
2013-08-01,282844.32,288400.67,416968.15,773147.9,12.552651919254485,-0.034559329767777314,13.558225641738728,0.05394624555528971,12.572106007552508,-0.08563319734811792,12.94076511896704,-0.019442133706141007
2013-09-01,278403.42,249357.42,379479.78,672125.16,12.536826491849707,-0.01582542740477777,13.418199852162909,-0.14002578957581946,12.426642567900688,-0.14546343965182018,12.846556593765948,-0.09420852520109158
2013-10-01,285195.01,314518.72,430179.69,800049.12,12.560928470875524,0.02410197902581679,13.592428404765162,0.17422855260225312,12.65879887640367,0.23215630850298297,12.971958284101591,0.12540169033564297
2013-11-01,253022.23,306638.45,404692.46,821457.45,12.441232629462348,-0.11969584141317569,13.618835419621982,0.02640701485682051,12.633424645254289,-0.025374231149381643,12.910882699605642,-0.06107558449594919
2013-12-01,282335.47,339969.85,448135.35,860351.9,12.550851252824105,0.1096186233617562,13.665096770582421,0.04626135096043882,12.736612216189766,0.10318757093547681,13.012850586303617,0.10196788669797563
2014-01-01,288260.8,312139.77,412617.93,917251.54,12.571620904905567,0.020769652081462198,13.729137021147707,0.06404025056528617,12.651206347247424,-0.08540586894234181,12.930277334806945,-0.08257325149667238
2014-02-01,304312.13,312142.65,385430.58,890362.31,12.625809197068905,0.05418829216333876,13.699383748757356,-0.029753272390351526,12.651215573840734,9.226593309819009e-06,12.862116377948553,-0.0681609568583923
2014-03-01,284201.43,335869.63,434863.96,1004937.39,12.557438526300318,-0.06837067076858716,13.820435799027218,0.12105205026986177,12.724478357699175,0.07326278385844098,12.98278852552665,0.12067214757809808
2014-04-01,250902.83,349155.3,437470.07,972039.42,12.432821011685082,-0.1246175146152364,13.787151638175777,-0.0332841608514407,12.763272087881154,0.03879373018197896,12.988763571011066,0.005975045484415631
2014-05-01,305911.84,332737.37,427487.2,877263.31,12.631052234849259,0.19823122316417674,13.684562465744154,-0.1025891724316228,12.715108779113253,-0.04816330876790076,12.965679625390228,-0.023083945620838264
2014-06-01,285640.44,303016.82,387299.1,733508.7,12.562489096062365,-0.06856313878689413,13.505594737435528,-0.17896772830862595,12.621543594501953,-0.09356518461130037,12.866952541720128,-0.09872708367010041
2014-07-01,289827.6,344659.64,439137.13,826918.81,12.577041542429098,0.014552446366733918,13.625461795063096,0.11986705762756777,12.750312658327392,0.1287690638254393,12.992567012300764,0.12561447058063635
2014-08-01,272617.6,326356.06,442953.1,793694.01,12.515825359623388,-0.06121618280571006,13.584453288118398,-0.04100850694469749,12.69574427291195,-0.05456838541544151,13.001219174348254,0.008652162047489753
2014-09-01,271079.59,371327.13,411466.28,728498.84,12.510167746780262,-0.005657612843126714,13.498741312303157,-0.08571197581524181,12.824838705096187,0.1290944321842371,12.927482351634733,-0.07373682271352067
2014-10-01,337006.14,343812.67,459922.48,836278.12,12.727856428753094,0.21768868197283275,13.636716516167146,0.13797520386398965,12.747852224073245,-0.07698648102294214,13.038813232524763,0.11133088089002996
2014-11-01,303666.7,343918.56,436467.9,885713.74,12.623685997343463,-0.10417043140963145,13.694149084830785,0.057432568663639216,12.74816016414116,0.0003079400679144584,12.986470112038731,-0.05234312048603229
2014-12-01,311419.96,464223.15,538899.26,1021378.09,12.648897633951506,0.025211636608043264,13.836663342015928,0.14251425718514277,13.048120642324339,0.29996047818317884,13.197283930753082,0.21081381871435134
2015-01-01,317220.91,419102.72,503135.7,1014706.21,12.66735368712502,0.018456053173514064,13.830109680283925,-0.00655366173200278,12.94587132398993,-0.1022493183344082,13.12861519400957,-0.06866873674351304
2015-02-01,315364.36,398167.69,454190.88,980149.84,12.661483947760281,-0.005869739364738891,13.795460736918237,-0.03464894336568847,12.894628527189607,-0.05124279680032373,13.026272829191766,-0.10234236481780279
2015-03-01,338142.32,457246.14,521879.26,1142551.06,12.731222150930884,0.06973820317060309,13.948774092217946,0.15331335529970858,13.03297712444602,0.1383485972564138,13.165191537428193,0.13891870823642627
2015-04-01,320920.88,413451.11,486779.41,1011167.74,12.678949891980247,-0.05227225895063725,13.826616399175954,-0.12215769304199142,12.932294551872793,-0.10068257257322699,13.09556634256992,-0.06962519485827201
2015-05-01,328177.8,415570.95,483594.83,944316.66,12.701310813668425,0.02236092168817727,13.758216833793824,-0.06839956538212988,12.937408636822875,0.005114084950081477,13.089002707012197,-0.006563635557723657
2015-06-01,331140.05,414466.18,480892.11,880016.47,12.710296676655128,0.008985862986703452,13.68769590218834,-0.07052093160548445,12.9347466579488,-0.002661978874074933,13.083398220393795,-0.0056044866184024045
2015-07-01,363251.96,440729.53,515322.66,902586.36,12.802851977150938,0.0925553004958104,13.713019654361894,0.02532375217355387,12.996186655619471,0.06143999767067143,13.152548507733325,0.06915028733953044
2015-08-01,333215.61,439588.9,513413.0,887796.85,12.716545036916953,-0.08630694023398533,13.69649822327936,-0.01652143108253412,12.993595250965331,-0.002591404654140206,13.14883586848543,-0.003712639247895666
2015-09-01,364351.76,422826.59,501658.04,734654.22,12.805875053606865,0.08933001668991203,13.507155218519541,-0.18934300475981836,12.95471742125615,-0.038877829709180745,13.12567397133586,-0.023161897149568844
2015-10-01,364469.55,448971.88,532741.14,834285.95,12.806198287846614,0.00032323423974922605,13.634331488283303,0.12717626976376195,13.01471553670081,0.05999811544466027,13.185790919132755,0.06011694779689414
2015-11-01,353643.08,423841.82,516486.95,925431.0,12.776043434903825,-0.030154852942789745,13.738014853921404,0.10368336563810132,12.957115598569912,-0.05759993813089892,13.154805301007727,-0.03098561812502787
2015-12-01,355233.65,499839.17,600161.72,1047478.84,12.780531020973402,0.004487586069577887,13.86189673009707,0.12388187617566615,13.122041665660655,0.1649260670907431,13.304954431214034,0.15014913020630694
2016-01-01,346512.22,433180.34,545737.53,1084043.63,12.755673363945498,-0.024857657027904878,13.896208709249247,0.034311979152176875,12.978909409884295,-0.14313225577635968,13.209893424861173,-0.09506100635286074
2016-02-01,368867.55,450916.35,540459.19,1055672.64,12.818192915497743,0.06251955155224564,13.869688695188412,-0.026520014060835706,13.019037124563479,0.04012771467918341,13.200174409048005,-0.009719015813168141
2016-03-01,372223.42,486255.94,575720.92,1107296.65,12.8272495443703,0.009056628872556871,13.91743215230458,0.047743457116167676,13.094490389778482,0.07545326521500328,13.263378308374358,0.06320389932635351
